1998,1981,17
1997,1986,11
1998,2001,3
1997,1982,15
1997,1983,14
1998,1991,7
1997,1980,17
1997,2013,16
1998,1997,1
1998,1997,1
1997,2001,4
1997,1982,15
1997,1989,8
1997,1987,10
1997,2001,4
1998,2009,11
1997,1992,5
1997,1987,10
1998,1999,1
1998,1985,13
1998,1987,11
1997,1980,17
1997,1990,7
1997,2011,14
1997,2011,14
1998,2015,17
1997,1996,1
1997,2002,5
1998,1983,15
1997,1990,7
1997,1980,17
1997,1994,3
1998,2010,12
1998,1981,17
1998,1992,6
1998,1996,2
1998,2004,6
1998,2006,8
1998,1999,1
1997,1987,10
1997,1980,17
1997,1984,13
1997,1986,11
1997,1990,7
1997,2011,14
1997,2015,18
1997,1982,15
1998,1981,17
1997,1995,2
1997,1991,6
1998,2011,13
1997,1994,3
1998,1983,15
1997,1994,3
1998,1982,16
1997,1992,5
1997,1984,13
1997,1984,13
1997,1992,5
1998,1987,11
1997,2009,12
1997,1982,15
1998,1999,1
1997,1986,11
1997,2000,3
1998,2015,17
1997,1985,12
1997,2008,11
1998,2010,12
1997,1990,7
1998,2002,4
1997,1985,12
1998,1996,2
1998,2011,13
1997,2005,8
1997,2004,7
1997,1991,6
1998,1997,1
1997,1992,5
1997,1982,15
1998,2000,2
1998,1991,7
1998,1985,13
1998,1985,13
1997,2000,3
1997,1989,8
1997,1981,16
1998,1990,8
1997,1996,1
1998,2011,13
1998,2011,13
1997,1982,15
1998,2009,11
1998,2008,10
1998,1992,6
1998,2000,2
1998,2013,15
1998,1983,15
1997,1988,9
1998,2008,10
1997,1993,4
1997,2002,5
1998,1988,10
1998,1990,8
1998,2009,11
1998,1988,10
1998,1991,7
1998,2004,6
1998,1981,17
1998,1981,17
1998,2008,10
1997,1996,1
1998,1992,6
1998,2005,7
1997,1981,16
1997,1998,1
1998,1991,7
1997,2010,13
1997,2010,13
1998,1987,11
1997,1991,6
1997,1992,5
1997,1992,5
1997,1991,6
1997,2005,8
1997,2005,8
1997,1984,13
1998,1991,7
1998,2006,8
1998,1992,6
1998,1990,8
1998,2011,13
1997,1981,16
1998,1989,9
1998,1992,6
1997,1996,1
1997,1992,5
1997,1980,17
1998,1982,16
1997,1995,2
1997,1994,3
1998,1987,11
1998,1987,11
1997,1982,15
1997,1985,12
1998,2008,10
1998,1982,16
1998,1996,2
1997,2015,18
1997,1992,5
1998,1990,8
1997,1982,15
1998,2008,10
1997,1981,16
1998,1986,12
1997,2010,13
1997,1983,14
1997,1980,17
1997,1990,7
1997,2006,9
1998,1986,12
1998,1989,9
1997,2009,12
1997,1988,9
1998,1987,11
1997,1995,2
1997,1987,10
1998,2007,9
1997,1999,2
1998,1988,10
1998,1980,18
1998,2014,16
1998,2009,11
1998,1981,17
1997,1983,14
1997,1998,1
1997,1991,6
1997,2000,3
1998,1990,8
1998,2012,14
1998,2013,15
1997,1992,5
1997,1989,8
1997,1996,1
1997,1988,9
1997,1991,6
1998,2011,13
1998,2009,11
1998,1988,10
1997,1990,7
1998,1993,5
1997,2010,13
1997,1997,0
1997,2009,12
1997,1988,9
1999,2008,9
1997,2000,3
1998,2005,7
1998,2010,12
1997,1986,11
1998,2006,8
1997,2014,17
1998,2006,8
1998,1987,11
1997,1987,10
1997,2014,17
1997,1990,7
1998,2005,7
1997,1980,17
1998,1996,2
1998,1980,18
1998,2005,7
1997,1980,17
1998,1981,17
1997,1983,14
1998,2001,3
1998,1986,12
1998,2006,8
1998,1990,8
1997,1987,10
1997,1980,17
1997,2003,6
1997,2011,14
1997,1999,2
1997,2006,9
1997,2007,10
1998,2011,13
1998,1999,1
1998,2008,10
1997,1996,1
1998,2007,9
1997,1997,0
1997,1980,17
1998,2014,16
1997,1980,17
1997,1998,1
1997,1993,4
1997,1983,14
1998,1985,13
1998,2001,3
1997,2015,18
1998,1989,9
1998,1985,13
1998,1992,6
1997,1982,15
1997,2004,7
2004,2007,3
1997,2015,18
1998,1987,11
1998,2009,11
1998,2010,12
1997,2006,9
1997,2000,3
1997,1991,6
1997,1982,15
1997,2004,7
1997,1989,8
1997,1989,8
1997,1984,13
1998,1984,14
1997,2014,17
1998,2006,8
1998,2008,10
1998,1984,14
1998,1997,1
1997,2013,16
1997,1984,13
1998,2012,14
1997,1999,2
1998,1987,11
1998,2000,2
1998,1989,9
1998,1995,3
1997,2014,17
1997,1985,12
1998,1982,16
1998,2014,16
1998,2014,16
1998,2007,9
1998,1997,1
1998,2008,10
1997,2008,11
1998,1994,4
1998,1982,16
1997,1980,17
1998,1980,18
1997,1995,2
1997,1995,2
1997,1987,10
1998,1980,18
1998,2001,3
1998,1997,1
1998,2011,13
1998,2005,7
1998,1982,16
1998,1980,18
1997,2005,8
1997,2004,7
1998,1998,0
1997,2005,8
1997,2012,15
1997,1981,16
1997,1980,17
1998,1993,5
1998,1980,18
1998,1982,16
1997,1980,17
1997,1991,6
1997,1991,6
1997,1982,15
1997,1984,13
1997,1989,8
1998,2006,8
1998,2004,6
1997,1991,6
1997,1983,14
1997,2004,7
1997,2003,6
1998,2004,6
2004,1982,22
1998,2000,2
1998,1992,6
1997,1980,17
1998,2012,14
1997,2004,7
1997,2004,7
1997,1986,11
1997,1984,13
1997,1983,14
1997,1987,10
1997,1981,16
1997,1982,15
1998,1984,14
1997,1996,1
1997,1996,1
1998,1998,0
1998,1998,0
1997,2006,9
1998,1984,14
1998,1991,7
1998,1987,11
1997,1987,10
1998,1994,4
1997,2008,11
1998,2004,6
1997,2014,17
1997,2010,13
1997,2015,18
1997,2000,3
1998,1989,9
1998,1991,7
1997,1990,7
1998,1987,11
1997,1983,14
1997,1994,3
1998,2010,12
1998,1991,7
1997,2008,11
1997,1986,11
1997,1985,12
1998,2006,8
1998,1992,6
1997,2014,17
1998,2007,9
1997,2014,17
1997,2003,6
1998,2001,3
1997,1992,5
1997,1998,1
1997,1987,10
1997,2008,11
1997,2011,14
1998,2011,13
1998,2005,7
1998,2012,14
1997,2006,9
1997,1984,13
1998,2002,4
1997,2007,10
1998,2010,12
1997,2003,6
1997,2010,13
1997,1989,8
1997,1986,11
1997,2003,6
1997,1985,12
1997,1984,13
1997,1996,1
1997,2003,6
1997,2002,5
1997,2015,18
1998,2011,13
1997,1986,11
1997,1986,11
1998,2007,9
1998,2007,9
1997,1985,12
1998,2005,7
1998,2005,7
1997,2005,8
1998,2008,10
1998,2010,12
2004,1991,13
1998,1994,4
1998,2007,9
1998,2014,16
1998,2006,8
1997,2001,4
1997,1995,2
1998,2010,12
1997,2005,8
1997,1989,8
1998,1993,5
1998,2013,15
1997,1985,12
1998,1982,16
1997,2013,16
1997,1999,2
1997,1989,8
1997,1980,17
1998,1989,9
1998,1987,11
1998,2011,13
1997,1999,2
1998,1992,6
1998,2004,6
1997,1983,14
1997,2013,16
1997,2013,16
1997,2013,16
1997,1983,14
1997,2015,18
1997,1988,9
1997,1992,5
1997,1992,5
1998,1980,18
1997,1985,12
1997,1991,6
1998,1986,12
1998,2010,12
1997,2005,8
1998,1988,10
1998,2012,14
1997,1986,11
1998,2012,14
1998,2008,10
1998,1984,14
1998,2001,3
1997,1999,2
1998,1987,11
1997,1993,4
1997,2002,5
1997,1981,16
1998,1987,11
1998,1981,17
1998,1986,12
1997,1994,3
1998,2006,8
1998,1989,9
1998,1981,17
1998,2010,12
1998,2015,17
1998,2013,15
1998,2012,14
1998,2004,6
1998,2004,6
1998,2008,10
1998,2008,10
1998,1998,0
1997,2013,16
1997,2006,9
1998,2005,7
1997,1999,2
1997,2015,18
1997,1980,17
1998,2005,7
1998,1985,13
1998,1981,17
1998,2015,17
1997,2011,14
1997,2002,5
1997,1980,17
1998,2011,13
1998,1988,10
1998,1997,1
1997,1988,9
1997,2005,8
1997,1980,17
1998,2008,10
1998,1998,0
1997,1980,17
1997,1987,10
1998,1983,15
1997,1993,4
1998,1998,0
1998,1980,18
1998,2005,7
1998,2004,6
1998,2015,17
1998,2010,12
1997,2002,5
1997,1994,3
1998,2011,13
1998,1991,7
1997,1980,17
1998,1987,11
1997,1980,17
1998,1985,13
1998,2007,9
1997,1999,2
1998,1988,10
1998,1989,9
1998,2007,9
1997,2009,12
1997,2005,8
1998,2011,13
1998,1996,2
1998,2006,8
1997,2001,4
1997,1981,16
1997,1986,11
1998,1990,8
1997,1991,6
1998,2003,5
1997,2002,5
1997,1991,6
1997,1988,9
1997,1993,4
1997,1988,9
1997,1988,9
1997,1990,7
1998,1982,16
1997,1989,8
1997,1991,6
1997,2001,4
1997,1993,4
1998,2009,11
1997,1997,0
1997,1989,8
1998,1983,15
1997,1982,15
1997,1988,9
1998,2008,10
1998,2008,10
1998,1990,8
1997,1993,4
1998,1983,15
1997,2008,11
1997,1983,14
1998,1991,7
1998,1994,4
1998,1982,16
1997,2014,17
1997,2000,3
1997,1986,11
1998,1982,16
1998,1982,16
1998,1992,6
1997,1985,12
1997,1985,12
1997,2010,13
1997,1998,1
1998,2008,10
1998,2010,12
1997,2008,11
1998,1991,7
1998,1998,0
1998,2009,11
1998,2013,15
1997,1992,5
1997,2014,17
1997,1992,5
1998,1990,8
1998,2014,16
1998,2007,9
1998,1984,14
1997,2015,18
1998,2015,17
1998,2006,8
1998,1982,16
1998,2013,15
1998,1983,15
1998,2015,17
1998,2014,16
1997,1993,4
1997,1991,6
1997,2001,4
1998,2003,5
1997,1984,13
1998,1991,7
1998,1981,17
1998,1994,4
1997,1981,16
1997,2011,14
1998,1983,15
1998,1982,16
1997,1988,9
1997,1982,15
1998,1987,11
1997,2008,11
1997,2014,17
1997,2009,12
1997,1989,8
1998,1993,5
1997,1994,3
1997,2013,16
1997,1984,13
1997,2008,11
1997,1990,7
1997,1989,8
1997,1980,17
1997,2009,12
1997,2009,12
1997,1981,16
1998,1990,8
1998,1980,18
1997,2010,13
1997,1980,17
1998,1985,13
1998,1985,13
1997,1986,11
1997,1996,1
1997,1993,4
1997,1986,11
1998,1986,12
1997,1987,10
1998,1990,8
1997,1991,6
1997,1988,9
1998,1984,14
1997,1982,15
1998,1998,0
1998,1998,0
1998,1998,0
1998,1987,11
1997,2012,15
1998,1981,17
1997,2015,18
1997,2003,6
1997,1986,11
1998,1982,16
1997,2000,3
1998,1991,7
1997,2009,12
1998,2007,9
1998,2009,11
1997,1980,17
1998,1985,13
1998,1985,13
1998,2010,12
1998,2001,3
1998,2005,7
1998,1985,13
1998,1981,17
1998,2015,17
1997,2008,11
1998,2014,16
1998,2014,16
1998,2014,16
1998,1994,4
1998,1997,1
1998,2000,2
1997,2010,13
1998,1985,13
1997,2009,12
1997,1985,12
1997,1996,1
1998,1980,18
1997,1994,3
1998,1984,14
1998,1987,11
1998,1999,1
1997,2002,5
1998,2005,7
1998,1990,8
1997,1996,1
1997,1996,1
1997,1996,1
1997,2009,12
1997,1986,11
1998,2001,3
1998,2009,11
1997,2011,14
1997,2003,6
1997,2013,16
1998,2010,12
1998,2014,16
1998,1980,18
1997,1984,13
1997,2003,6
1998,1983,15
1997,1998,1
1997,1998,1
1997,1998,1
1997,1998,1
1997,1980,17
1998,1982,16
1998,1982,16
1997,2005,8
1998,2009,11
1998,2003,5
1998,1992,6
1997,1998,1
1997,1998,1
1997,1998,1
1998,1990,8
1997,2014,17
1998,2007,9
1997,1988,9
1997,1992,5
1998,1983,15
1998,2007,9
1998,1988,10
1997,2011,14
1997,2015,18
1998,1990,8
1998,2006,8
1997,2007,10
1998,2002,4
1997,1982,15
1997,1987,10
1997,1983,14
1997,2005,8
1997,1991,6
1997,1982,15
1997,2013,16
1997,1992,5
1997,2001,4
1997,1999,2
1997,2011,14
1997,1988,9
1997,1982,15
1997,1993,4
1997,1982,15
1997,1986,11
1997,2003,6
1997,1999,2
1997,1987,10
1997,1982,15
1997,2006,9
1997,1983,14
1998,1986,12
1997,2014,17
1997,1992,5
1997,2000,3
1998,2013,15
1997,2011,14
1997,2011,14
1998,2010,12
1998,2011,13
1998,2015,17
1998,2011,13
1997,1994,3
1998,1987,11
1997,2014,17
1997,1980,17
1998,1992,6
1998,1985,13
1997,2001,4
1997,2004,7
1998,2006,8
1997,1981,16
1998,2003,5
1998,2014,16
1997,2006,9
1997,2007,10
1998,1989,9
1998,1989,9
1998,2004,6
1998,2010,12
1997,2004,7
1997,1999,2
1997,2014,17
1997,1981,16
1997,1987,10
1997,2009,12
1997,2000,3
1997,2010,13
1997,1983,14
1997,1995,2
1997,1990,7
1998,1988,10
1997,2008,11
1998,2012,14
1998,2012,14
1997,1991,6
1998,2003,5
1997,1985,12
1997,1999,2
1997,1985,12
1997,1982,15
1997,1986,11
1997,1984,13
1997,2014,17
1997,1987,10
1997,1983,14
1998,2013,15
1997,1980,17
1997,1991,6
1997,2003,6
1998,1992,6
1997,2010,13
1998,2013,15
1997,1983,14
1997,1990,7
1997,1991,6
1997,1983,14
1998,2011,13
1997,1983,14
1998,1982,16
1998,2013,15
1998,2010,12
1998,1995,3
1998,2008,10
1997,1987,10
1997,1995,2
1998,1994,4
1997,1985,12
1997,2003,6
1997,2008,11
1998,2010,12
1998,1984,14
1998,2006,8
1998,1981,17
1997,2003,6
1997,1994,3
1997,1989,8
1997,1989,8
1998,1988,10
1997,1996,1
1997,1996,1
1997,1996,1
1997,2001,4
1997,1982,15
1997,1985,12
1998,1984,14
1998,1992,6
1997,1986,11
1998,2005,7
1998,1990,8
1998,1985,13
1998,1981,17
1997,2011,14
1998,1980,18
1998,1980,18
1997,1989,8
1998,1994,4
1998,2014,16
1997,1997,0
1998,1997,1
1998,1997,1
1998,2005,7
1997,1984,13
1997,1981,16
1998,1983,15
1997,1986,11
1998,2011,13
1998,2011,13
1998,1980,18
1998,1985,13
1998,1992,6
1997,1985,12
1997,2006,9
1997,2006,9
1997,2010,13
1997,1986,11
1997,1998,1
1997,1998,1
1997,1991,6
1997,1988,9
1998,2010,12
1997,2011,14
1998,1987,11
1997,1987,10
1998,2011,13
1998,2003,5
1998,1993,5
1998,1980,18
1998,2002,4
1998,1991,7
1997,1980,17
1997,1982,15
1997,2001,4
1997,1997,0
1997,1991,6
1997,2005,8
1997,1990,7
1997,1989,8
1998,1983,15
1997,1981,16
1998,2000,2
1998,1994,4
1997,1991,6
1997,1986,11
1998,2011,13
1997,1987,10
1998,1991,7
1997,1986,11
1998,1996,2
1998,2006,8
1998,1992,6
1998,1986,12
1997,2002,5
1998,2014,16
1997,1992,5
1999,2004,5
1997,2011,14
1998,1998,0
1998,1998,0
1998,1994,4
1998,2005,7
1998,2011,13
1997,1992,5
1997,2004,7
1997,1995,2
1997,1983,14
1998,2011,13
1998,1985,13
1997,1994,3
1997,1993,4
1998,2008,10
1998,2001,3
1997,2001,4
1998,2006,8
1997,2005,8
1997,1982,15
1997,1982,15
1998,2001,3
1997,2000,3
1998,1999,1
1998,1984,14
1998,2005,7
1998,2005,7
1998,1998,0
1997,2004,7
1998,2001,3
1998,1997,1
1998,2015,17
1997,2004,7
1998,2000,2
1998,1997,1
1998,1991,7
1998,1996,2
1998,2004,6
1998,1989,9
1998,2010,12
1998,2007,9
1997,1984,13
1998,2001,3
1997,2014,17
1998,1999,1
1998,1998,0
1998,2010,12
1997,2000,3
1998,1999,1
1997,2003,6
1997,1981,16
1998,1982,16
1998,1988,10
1998,1982,16
1997,2004,7
1998,1991,7
1998,1989,9
1998,1991,7
1997,2002,5
1998,1989,9
1998,1998,0
1997,1980,17
1998,2014,16
1998,2013,15
1997,1986,11
1998,2012,14
1998,2005,7
1998,2004,6
1997,1983,14
1998,1990,8
1998,1982,16
1997,2010,13
1998,2011,13
1998,2012,14
1998,2008,10
1997,2009,12
1997,2002,5
1997,2006,9
1998,1998,0
1998,2006,8
1998,1983,15
1997,1990,7
1997,1995,2
1997,2003,6
1998,1997,1
1998,2000,2
1998,1997,1
1998,1992,6
1998,1992,6
1998,1981,17
1998,1999,1
1998,1991,7
1997,1992,5
1998,2002,4
1998,2000,2
1998,2004,6
1997,1980,17
1998,1989,9
1997,2002,5
1997,1991,6
1997,2013,16
1998,1985,13
1998,1983,15
1980,2002,22
1998,2015,17
1998,1998,0
1997,2006,9
1998,1990,8
1998,1984,14
1997,1992,5
1997,1985,12
1997,2014,17
1997,1986,11
1998,2005,7
1998,1997,1
1998,1996,2
1997,1994,3
1998,2015,17
1997,1986,11
1997,2015,18
1997,2006,9
1998,1996,2
1997,2010,13
1998,2004,6
1998,1988,10
1997,1985,12
1997,1989,8
1997,2008,11
1998,2010,12
1998,1988,10
1997,1980,17
1997,1986,11
1998,2010,12
1997,2014,17
1998,2014,16
1997,1985,12
1998,1985,13
1998,1993,5
1998,2007,9
1997,1995,2
1997,1986,11
1998,1980,18
1998,1982,16
1997,1985,12
1998,1998,0
1998,1983,15
1997,1988,9
1997,1991,6
1997,1999,2
1998,1983,15
1998,2001,3
1997,1994,3
1997,1988,9
1998,1980,18
1998,1996,2
1997,2003,6
1998,1987,11
1997,2010,13
1997,2000,3
1997,1994,3
1997,1997,0
1998,2011,13
1998,2009,11
1997,2003,6
1997,1993,4
1997,1985,12
1998,1988,10
1998,1988,10
1998,1981,17
1998,2007,9
1997,1995,2
1997,1985,12
1998,2009,11
1998,2014,16
1997,1984,13
1997,1980,17
1997,1988,9
1997,1984,13
1997,2008,11
1997,1982,15
1997,2005,8
1997,1990,7
1997,2013,16
1998,2011,13
1998,2012,14
1998,1998,0
1998,1998,0
1997,1982,15
1997,1983,14
1998,1990,8
1998,1981,17
1998,2014,16
1997,1986,11
1997,2013,16
1997,1984,13
1997,1988,9
1998,1991,7
1998,1985,13
1997,1981,16
1997,1986,11
1997,1988,9
1998,2008,10
1998,2004,6
1997,2009,12
1998,1996,2
1998,1986,12
1998,2014,16
1998,1981,17
1998,2010,12
1998,2011,13
1998,2012,14
1998,2003,5
1998,2012,14
1997,1985,12
1997,2010,13
1998,1991,7
1998,2014,16
1998,1993,5
1998,2000,2
1997,1995,2
1998,2001,3
1998,2002,4
1997,1990,7
1998,1984,14
1998,1989,9
1998,1980,18
1998,1984,14
1998,1990,8
1998,2013,15
1997,1980,17
1998,2007,9
1998,1996,2
1998,1987,11
1997,1986,11
1997,1993,4
1997,1999,2
1997,1999,2
1997,2004,7
1998,1993,5
1998,1981,17
1998,1999,1
1997,2003,6
1998,2011,13
1998,1992,6
1997,2002,5
1998,2009,11
1997,1997,0
1997,1997,0
1997,1983,14
1998,2014,16
1998,1984,14
1998,2013,15
1998,1998,0
1997,1996,1
1998,1982,16
1998,1998,0
1998,1998,0
1998,1996,2
1997,1982,15
1998,1984,14
1997,2001,4
1997,1981,16
1998,1987,11
1997,1988,9
1997,2005,8
1998,2007,9
1997,1998,1
1998,2004,6
1998,2000,2
1997,1994,3
1998,2014,16
1997,2002,5
1997,2010,13
1998,1985,13
1997,1992,5
1998,1996,2
1998,1988,10
1997,2010,13
1997,2012,15
1998,2007,9
1997,1992,5
1997,2004,7
1997,1997,0
1997,1997,0
1998,2009,11
1997,2002,5
1998,1986,12
1998,1988,10
1997,1997,0
1997,1993,4
1998,2010,12
1998,1990,8
1998,2005,7
1998,2011,13
1998,2000,2
1998,1992,6
1997,1990,7
1998,1992,6
1998,2002,4
1997,2007,10
1997,2004,7
1997,1987,10
1998,1987,11
1997,1990,7
1998,1987,11
1998,1987,11
1997,1992,5
1997,1994,3
1998,1991,7
1997,1996,1
1998,1992,6
1997,2008,11
1998,2004,6
1997,2005,8
1998,2005,7
1997,1993,4
1998,1994,4
1998,1994,4
1998,2005,7
1997,1991,6
1998,2010,12
1998,1985,13
1997,1994,3
1997,1984,13
1998,2009,11
1997,1985,12
1998,2005,7
1998,2004,6
1997,2014,17
1998,1988,10
1997,1980,17
1998,2005,7
1998,2002,4
1998,1990,8
1997,1985,12
1998,1990,8
1998,1982,16
1998,1981,17
1997,1985,12
1998,2013,15
1997,2002,5
1997,1986,11
1997,1984,13
1998,2005,7
1997,2011,14
1998,1980,18
1997,1996,1
1997,1983,14
1997,2009,12
1998,1997,1
1997,1982,15
1998,2001,3
1997,1992,5
1997,1994,3
1998,2004,6
1998,2015,17
1998,1986,12
1998,1997,1
1998,1989,9
1997,1984,13
1998,2011,13
1997,2007,10
1997,1983,14
1997,1980,17
1997,1980,17
1997,2004,7
1997,1982,15
1998,1991,7
1997,1984,13
1997,1982,15
1997,2010,13
1998,1989,9
1998,2006,8
1997,1989,8
1998,1989,9
1997,1992,5
1998,1990,8
1998,2004,6
1998,1980,18
1997,1987,10
1998,1988,10
1998,1988,10
1998,1987,11
1998,2015,17
1997,1986,11
1997,1982,15
1997,1984,13
1997,1980,17
1998,2002,4
1998,1993,5
1997,2015,18
1997,2009,12
1997,1985,12
1997,2010,13
1998,2002,4
1997,2001,4
1998,1988,10
1997,1995,2
1998,2001,3
1997,2009,12
1998,2012,14
1998,1985,13
1997,1981,16
1998,1997,1
1998,1999,1
1998,1988,10
1998,1991,7
1998,1991,7
1997,1985,12
1997,1985,12
1998,2000,2
1997,1985,12
1997,2013,16
1997,2010,13
1997,1996,1
1998,1983,15
1997,2008,11
1997,1981,16
1998,1986,12
1997,1988,9
1998,1995,3
1998,2004,6
1998,2012,14
1997,1983,14
1998,2010,12
1997,1982,15
1998,1980,18
1997,2000,3
1998,2013,15
1997,1998,1
1998,2006,8
1998,1993,5
1997,2001,4
1997,2007,10
1998,2014,16
1997,1980,17
1997,2010,13
1998,2000,2
1998,2001,3
1998,1987,11
1997,1996,1
1997,2015,18
1997,2010,13
1998,1982,16
1997,1985,12
1997,2001,4
1998,1982,16
1998,1991,7
1997,2005,8
1998,1995,3
1997,1984,13
1998,1996,2
1998,2009,11
1997,1992,5
1998,2001,3
1997,1997,0
1998,1993,5
1998,1998,0
1997,1990,7
1997,1985,12
1997,2003,6
1998,1990,8
1980,2002,22
1998,2000,2
1998,1982,16
1997,1987,10
1998,1985,13
1997,1986,11
1998,1990,8
1997,2014,17
1997,2002,5
1997,1999,2
1998,2005,7
1997,1993,4
1997,1989,8
1998,2000,2
1997,2011,14
1998,2011,13
1997,1983,14
1997,1981,16
1997,2008,11
1998,2011,13
1998,2008,10
1998,1980,18
1997,2009,12
1997,1986,11
1998,1999,1
1997,2011,14
1997,1988,9
1997,2014,17
1997,1984,13
1997,1982,15
1998,2015,17
1998,2005,7
1998,2007,9
1997,2012,15
1998,2010,12
1998,2004,6
1998,2007,9
1998,2006,8
1997,2010,13
1997,2012,15
1997,2007,10
1997,2012,15
1997,1986,11
1997,1983,14
1997,2004,7
1997,1984,13
1998,2004,6
1998,1990,8
1997,1991,6
1997,2003,6
1997,1983,14
1997,1982,15
1997,1982,15
1997,2007,10
1997,2004,7
1998,1988,10
1997,1984,13
1997,2010,13
1998,1986,12
1998,2009,11
1998,1998,0
1997,1992,5
1998,1987,11
1998,2008,10
1998,1982,16
1998,2009,11
1997,2011,14
1998,2003,5
1998,1988,10
1997,1989,8
1998,2008,10
1998,2009,11
1998,2014,16
1998,1986,12
1997,1988,9
1997,1988,9
1997,1988,9
1998,2012,14
1997,1985,12
1998,2014,16
1997,2011,14
1997,1985,12
1998,2009,11
1997,2007,10
1998,2008,10
1997,2011,14
1997,2011,14
1998,2000,2
1997,1989,8
1998,2003,5
1998,2002,4
1998,1983,15
1997,1981,16
1997,1989,8
1997,2012,15
1997,1990,7
1997,1996,1
1997,2001,4
1998,1984,14
1997,2015,18
1997,2009,12
1998,1985,13
1998,1991,7
1997,1992,5
1997,1985,12
1997,2015,18
1997,2004,7
1998,2003,5
1997,1985,12
1997,1988,9
1998,2009,11
1997,1990,7
1997,1982,15
2004,1986,18
1998,1983,15
1997,2015,18
1997,2005,8
1998,1981,17
1997,1988,9
1997,2003,6
1998,2008,10
1997,2008,11
1998,1991,7
1997,1983,14
1997,2004,7
1998,2014,16
1997,1980,17
1997,2005,8
1997,2000,3
1997,1998,1
1998,1988,10
1997,1993,4
1997,1984,13
1997,2013,16
1997,1991,6
1998,2015,17
1997,1982,15
1998,2005,7
1998,2001,3
1998,2014,16
1998,2008,10
1997,2005,8
1998,1991,7
1997,1980,17
1997,1982,15
1997,1994,3
1997,1995,2
1997,1994,3
1997,1994,3
1997,1995,2
1997,1991,6
1998,2015,17
1998,1992,6
1998,1996,2
1997,1980,17
1997,1992,5
1997,2010,13
1997,1997,0
1997,2007,10
1997,1988,9
1998,2009,11
1997,1993,4
1998,1999,1
1997,1996,1
1998,2002,4
1997,2008,11
1998,2013,15
1997,1987,10
1997,1986,11
1998,1989,9
1997,1990,7
1997,1983,14
1998,2010,12
1998,2009,11
1997,1990,7
1998,2014,16
1997,2005,8
1997,2012,15
1998,1996,2
1997,1981,16
1997,2001,4
1997,2000,3
1997,2008,11
1998,2009,11
1998,2009,11
2004,1982,22
1997,1991,6
1997,1988,9
1998,1985,13
1997,1980,17
1997,1989,8
1998,2012,14
1998,2007,9
1998,2007,9
1998,2006,8
1997,1990,7
1997,1985,12
1998,2015,17
1998,2007,9
1998,2012,14
1998,2013,15
1998,1988,10
1997,2010,13
1997,2010,13
1997,1980,17
1997,1991,6
1998,1988,10
2004,1991,13
1998,2013,15
1997,1991,6
1997,1999,2
1998,1994,4
1997,1999,2
1998,1990,8
1997,2010,13
1998,1994,4
1998,2015,17
1998,2000,2
1997,2008,11
1997,1990,7
1997,1981,16
1998,1986,12
1997,1982,15
1998,2011,13
1998,2010,12
1997,1995,2
1998,2011,13
1997,2015,18
1997,2011,14
1997,2010,13
1997,1986,11
1997,2005,8
1997,2009,12
1997,1990,7
1997,2011,14
1997,2011,14
1998,1984,14
1997,2011,14
1997,1990,7
1998,2015,17
1997,1985,12
1997,1981,16
1997,1986,11
1998,2014,16
1998,2001,3
1998,2009,11
1998,2006,8
1998,2006,8
1998,2001,3
1997,1988,9
1997,1981,16
1997,1981,16
1998,1983,15
1998,1988,10
1998,2006,8
1998,2006,8
1998,2003,5
1998,1989,9
1998,1990,8
1997,1988,9
1997,2011,14
1997,1994,3
1997,1990,7
1998,2001,3
1997,1984,13
1998,1988,10
1998,2007,9
1998,2008,10
1997,1999,2
1997,1989,8
1998,1983,15
1998,2001,3
1998,2009,11
1998,2008,10
1998,2003,5
1998,1989,9
1997,1983,14
1998,1993,5
1997,1981,16
1997,1983,14
1998,1997,1
1998,2015,17
1997,1986,11
1998,2012,14
1998,2011,13
1997,1984,13
1998,1989,9
1997,2013,16
1997,2010,13
1998,1985,13
1997,1988,9
1998,1993,5
1998,1998,0
1998,2010,12
1997,2003,6
1997,1986,11
1998,2011,13
1998,2003,5
1997,2002,5
1997,1998,1
1997,2001,4
1998,2011,13
1998,2010,12
1998,2011,13
1997,2013,16
1997,1980,17
1997,1981,16
1998,2002,4
1998,1985,13
1998,2014,16
1997,1998,1
1998,1996,2
1998,2002,4
1997,1984,13
1998,2004,6
1997,1990,7
1997,2013,16
1997,1999,2
1998,2008,10
1997,2003,6
1997,1989,8
1997,1992,5
1997,1990,7
1998,1996,2
1998,1980,18
1997,1994,3
1997,1991,6
1998,1998,0
1998,2008,10
1997,2014,17
1997,1981,16
1997,1993,4
1997,1984,13
1997,1993,4
1998,2013,15
1998,2012,14
1997,2003,6
1997,1980,17
1998,1995,3
1997,2002,5
1997,2012,15
1998,1984,14
1997,1988,9
1998,2013,15
1998,2004,6
1997,2005,8
1997,1980,17
1997,1993,4
1997,1994,3
1997,1994,3
1998,2007,9
1998,2009,11
1998,1985,13
1998,1990,8
1998,1992,6
1997,2003,6
1998,2009,11
1997,1984,13
1997,1992,5
1998,2004,6
1998,1998,0
1998,2011,13
1998,1996,2
1997,2015,18
1998,2010,12
1998,2014,16
1998,1997,1
1997,1991,6
1997,1987,10
1997,1986,11
1998,1992,6
1997,1997,0
1997,1994,3
1998,2014,16
1997,2000,3
1997,1993,4
1997,1987,10
1997,1990,7
1997,2011,14
1997,1988,9
1997,1991,6
1997,1985,12
